YearMo;7169;7786;7766;7712;7660;7625;7558;7486;7445;7170;7169_weight_acc;7786_weight_acc;7766_weight_acc;7712_weight_acc;7660_weight_acc;7625_weight_acc;7558_weight_acc;7486_weight_acc;7445_weight_acc;7170_weight_acc
201602;0,900000000000;0,025286580000;0,264803800000;0,081843300000;0,104284540000;0,114922580000;0,014468880000;0,042839150000;-0,023502750000;0,270118740000;1,348877810513;1,001515994301;1,017685895909;1,039510176926;1,033965205237;1,037015471628;1,012265401903;1,008836617257;1,055223322688;1,103096082556
201603;0,430000000000;-0,063076200000;0,029679930000;0,063702000000;0,086576100000;0,029577760000;0,041321340000;0,029719900000;-0,099252480000;0,316460400000;1,354677985098;1,000884276070;1,017987944370;1,040172365699;1,034860371987;1,037322197576;1,012683683531;1,009136442490;1,054175987371;1,106586944832
201604;0,610000000000;0,055030920000;0,009440200000;0,024456130000;0,259506080000;0,005530080000;0,024017600000;0,011068200000;-0,058301500000;0,280436290000;1,362941520807;1,001435071895;1,018084044468;1,040426751605;1,037545897572;1,037379562323;1,012926905848;1,009248135730;1,053561386957;1,109690216205
201605;0,780000000000;0,000377600000;0,007522560000;0,143014950000;0,183520080000;-0,106312840000;0,054517190000;0,026720820000;0,271938590000;0,201599580000;1,373572464670;1,001438853314;1,018160630452;1,041914717403;1,039450002633;1,036276694649;1,013479125134;1,009517815108;1,056426426938;1,111927347021
201606;0,350000000000;0,001498880000;0,005139640000;0,037286900000;0,094805090000;-0,095828240000;0,019193920000;0,011011000000;0,096676020000;0,183501630000;1,378379968296;1,001453863681;1,018212960243;1,042303215102;1,040435454144;1,035283648931;1,013673651506;1,009628973114;1,057447737962;1,113967751827
201607;0,520000000000;0,000747120000;0,001864280000;0,074565400000;0,070007260000;0,071689600000;-0,022786320000;0,022424300000;-0,044623750000;0,342375000000;1,385547544131;1,001461345743;1,018231942583;1,043080412663;1,041163834497;1,036025839638;1,013442672584;1,009855375344;1,056975865127;1,117781698917
201608;0,440000000000;-0,000743400000;0,045921150000;0,102456960000;0,091904800000;0,048339180000;0,008913600000;0,015231960000;0,045795300000;0,078425100000;1,391643953325;1,001453900879;1,018699526401;1,044149121145;1,042120714037;1,036526646033;1,013533006810;1,010009196111;1,057459910395;1,118658320332
201609;0,080000000000;0,006659280000;0,008394120000;0,010726300000;0,038045700000;-0,017872600000;0,025489540000;-0,009726930000;0,096030900000;-0,075716680000;1,392757268488;1,001520590498;1,018785037261;1,044261119712;1,042517196157;1,036341391772;1,013791351711;1,009910953224;1,058475398664;1,117811309392
201610;0,260000000000;0,002592590000;0,000933580000;0,001072920000;0,049698110000;0,133810500000;0,026761950000;-0,005480020000;0,064376760000;-0,013004850000;1,396378437386;1,001546555821;1,018794548435;1,044272323798;1,043035307500;1,037728125370;1,014062662046;1,009855609901;1,059156810831;1,117665939707
201611;0,180000000000;0,009981090000;0,002793780000;0,050303630000;0,065996310000;0,050200640000;0,011915400000;-0,006718240000;0,046059900000;-0,051854400000;1,398891918573;1,001646521084;1,018823011313;1,044797630684;1,043723672315;1,038249071530;1,014183491668;1,009787765378;1,059644657399;1,117086380740
201612;0,300000000000;0,000740020000;0,003255420000;0,108407340000;0,056950250000;0,199205040000;0,019068480000;-0,012972260000;-0,090696570000;0,020664960000;1,403088594329;1,001653933469;1,018856178281;1,045930268004;1,044318075556;1,040317316008;1,014376881045;1,009656773083;1,058683596041;1,117317226194
201701;0,380000000000;0,023243220000;0,013455420000;0,048639150000;0,064042550000;0,139295310000;-0,021456360000;-0,004159100000;0,025899670000;0,090206900000;1,408420330988;1,001886750096;1,018993269659;1,046438999596;1,044986883482;1,041766429239;1,014159232689;1,009614780449;1,058957791598;1,118325123427
